title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
Complete Idiot's Guide to Creative Writing,EBSCO,Alpha Books,EBSCOhost,978-0-02-861734-3,,,1997,Controlled,Regular,Unique Title Requests,1
Complete Idiot's Guide to Breaking Bad Habits,EBSCO,Alpha Books,EBSCOhost,978-0-02-862110-4,,,1998,Controlled,Regular,Unique Title Requests,2
Complete Idiot's Guide to Baby Names,EBSCO,Alpha Books,EBSCOhost,978-0-02-863367-1,,,1999,Controlled,Regular,Unique Title Requests,6
"Black Image in the White Mind: Debate on Afro-American Character & Destiny, 1817-1914",EBSCO,Wesleyan University Press,EBSCOhost,978-0-06-011343-8,,,1987,Controlled,Regular,Unique Title Requests,1
Feminism And Art History: Questioning The Litany,EBSCO,Routledge,EBSCOhost,978-0-06-430117-6,,,1982,Controlled,Regular,Unique Title Requests,2
Risk Management,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-135731-9,,,2000,Controlled,Regular,Unique Title Requests,2
Digital Game-based Learning,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-136344-0,,,2001,Controlled,Regular,Unique Title Requests,2
Wink: The Incredible Life and Epic Journey of Jimmy Winkfield,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-141862-1,,,2000,Controlled,Regular,Unique Title Requests,3
Jack Welch on Leadership: Abridged from Jack Welch and the GE Way,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-143527-7,,,2004,Controlled,Regular,Unique Title Requests,3
McGraw-Hill's LSAT,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-144805-5,,,2005,Controlled,Regular,Unique Title Requests,1
Digital Photography Quicksteps (McGraw Hill professional),EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-148298-1,,,2007,Controlled,Regular,Unique Title Requests,1
How to Do Everything With Your Digital Camera (McGraw Hill professional),EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-149580-6,,,2008,Controlled,Regular,Unique Title Requests,1
"AACN Essentials of Critical-Care Nursing, Second Edition",EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-166442-4,,,2006,Controlled,Regular,Unique Title Requests,1
"Winning Body Language: Control the Conversation, Command Attention, and Convey the Right Message--without Saying a Word",EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-170057-3,,,2010,Controlled,Regular,Unique Title Requests,7
"McGraw-Hill's Conquering LSAT Logic Games, Third Edition",EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-171788-5,,,2010,Controlled,Regular,Unique Title Requests,1
McGraw-Hill's LSAT 2011,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-174084-5,,,2010,Controlled,Regular,Unique Title Requests,2
How to Do Everything With Your Digital Camera (How to do everything with--),EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-212772-0,,,2001,Controlled,Regular,Unique Title Requests,1
RSA Security's Official Guide to Cryptography,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-213139-0,,,2001,Controlled,Regular,Unique Title Requests,1
Biometrics and Strong Authentication,EBSCO,McGraw-Hill/Osborne,EBSCOhost,978-0-07-222227-2,,,2002,Controlled,Regular,Unique Title Requests,4
Digital Photography (QuickSteps),EBSCO,McGraw-Hill/Osborne,EBSCOhost,978-0-07-225861-5,,,2004,Controlled,Regular,Unique Title Requests,1
Activated Carbon,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-044463-5,,,2006,Controlled,Regular,Unique Title Requests,1
Comprehensive Medicinal Chemistry II,Elsevier,Elsevier,ScienceDirect licensed content,978-0-08-045044-5,,,2007,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Agriculture and Food Systems,Elsevier,Elsevier,ScienceDirect licensed content,978-0-08-093139-5,,,2014,Controlled,Regular,Unique Title Requests,1
Comprehensive Chirality,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-095167-6,,,2012,Controlled,Regular,Unique Title Requests,2
Metal Nanoparticles and Nanoalloys,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-096357-0,,,2012,Controlled,Regular,Unique Title Requests,1
The Immunoassay Handbook (Fourth Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-08-097037-0,,,2013,Controlled,Regular,Unique Title Requests,1
International Encyclopedia of the Social and Behavioral Sciences,ProQuest,Elsevier,ProQuest Ebook Central,978-0-08-097086-8,,,2015,Controlled,Regular,Unique Title Requests,3
Carbon Nanotubes and Graphene (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-08-098232-8,,,2014,Controlled,Regular,Unique Title Requests,1
Robertson on Library Security and Disaster Planning,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-100077-9,,,2015,Controlled,Regular,Unique Title Requests,2
Handbook of Life Cycle Assessment (LCA) of Textiles and Clothing,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-100169-1,,,2015,Controlled,Regular,Unique Title Requests,13
Libraries and Key Performance Indicators,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-100227-8,,,2017,Controlled,Regular,Unique Title Requests,1
Foundations of Biomaterials Engineering,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-101034-1,,,2019,Controlled,Regular,Unique Title Requests,1
Social Justice and Library Work,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-101755-5,,,2017,Controlled,Regular,Unique Title Requests,1
Sustainability in Denim,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-102043-2,,,2017,Controlled,Regular,Unique Title Requests,1
Biotechnology : A Laboratory Course,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-084562-0,,,1996,Controlled,Regular,Unique Title Requests,3
Return to the River : Restoring Salmon Back to the Columbia River,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-088414-8,,,2005,Controlled,Regular,Unique Title Requests,3
Human Parasitology,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-088468-1,,,2005,Controlled,Regular,Unique Title Requests,2
Vertebrate Endocrinology,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-088768-2,,,2006,Controlled,Regular,Unique Title Requests,1
Elements of Financial Risk Management,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-174232-4,,,2003,Controlled,Regular,Unique Title Requests,2
Air Pollution and Health,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-352335-8,,,1999,Controlled,Regular,Unique Title Requests,1
Principles of Chemical Kinetics,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-356787-1,,,2007,Controlled,Regular,Unique Title Requests,1
Handbook on Animal-Assisted Therapy,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-369484-3,,,2006,Controlled,Regular,Unique Title Requests,2
Handbook on Animal-Assisted Therapy : Theoretical Foundations and Guidelines for Practice,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-369484-3,,,2006,Controlled,Regular,Unique Title Requests,2
Emergency Response Planning for Corporate and Municipal Managers,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-370503-7,,,2006,Controlled,Regular,Unique Title Requests,1
Elementary Number Theory with Applications,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-372487-8,,,2007,Controlled,Regular,Unique Title Requests,1
Psychology of Academic Cheating,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-372541-7,,,2006,Controlled,Regular,Unique Title Requests,1
Gas Chromatography and Mass Spectrometry: a Practical Guide,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-373628-4,,,2011,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Applied Ethics,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-373632-1,,,2011,Controlled,Regular,Unique Title Requests,4
Data Mining: Concepts and Techniques,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-381479-1,,,2011,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Caves,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-383832-2,,,2012,Controlled,Regular,Unique Title Requests,5
Fusion,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-384656-3,,,2012,Controlled,Regular,Unique Title Requests,2
Thorp and Covich's Freshwater Invertebrates (Fourth Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-385026-3,,,2015,Controlled,Regular,Unique Title Requests,1
Handbook of Biologically Active Peptides (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-385095-9,,,2013,Controlled,Regular,Unique Title Requests,3
Advances in Experimental Social Psychology Vol: 44,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-385522-0,0065-2601,,2011,Controlled,Regular,Unique Title Requests,1
The Encyclopedia of Volcanoes,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-385938-9,,,2015,Controlled,Regular,Unique Title Requests,2
Primer on the Autonomic Nervous System,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-386525-0,,,2011,Controlled,Regular,Unique Title Requests,1
Advances in Experimental Social Psychology Vol: 45,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-394286-9,0065-2601,,2012,Controlled,Regular,Unique Title Requests,1
Cancer Immunotherapy (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-394296-8,,,2013,Controlled,Regular,Unique Title Requests,1
The Science and Technology of Rubber,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-394584-6,,,2013,Controlled,Regular,Unique Title Requests,2
The Science and Technology of Rubber (Fourth Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-394584-6,,,2013,Controlled,Regular,Unique Title Requests,5
Genetics and the Behavior of Domestic Animals (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-394586-0,,,2014,Controlled,Regular,Unique Title Requests,2
Toxoplasma Gondii,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-396481-6,,,2013,Controlled,Regular,Unique Title Requests,2
Euryhaline Fishes,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-396951-4,1546-5098,,2012,Controlled,Regular,Unique Title Requests,3
Fish Physiology: Euryhaline Fishes,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-396951-4,,,2013,Controlled,Regular,Unique Title Requests,2
Lees' Loss Prevention in the Process Industries,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-397189-0,,,2012,Controlled,Regular,Unique Title Requests,1
Molecular Biology of B Cells (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-397933-9,,,2015,Controlled,Regular,Unique Title Requests,1
Organic Chemical Toxicology of Fishes,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-398254-4,1546-5098,,2013,Controlled,Regular,Unique Title Requests,1
Whisky,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-401735-1,,,2014,Controlled,Regular,Unique Title Requests,15
Dream Science,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-404648-1,,,2014,Controlled,Regular,Unique Title Requests,2
Movement Disorders (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-405195-9,,,2015,Controlled,Regular,Unique Title Requests,7
Total Information Risk Management,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-405547-6,,,2014,Controlled,Regular,Unique Title Requests,1
Introduction to Cyber-Warfare,ProQuest,Elsevier Science & Technology Books,ProQuest Ebook Central,978-0-12-407814-7,,,2013,Controlled,Regular,Unique Title Requests,1
Kidnapping (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-408065-2,,,2013,Controlled,Regular,Unique Title Requests,9
Credible Checklists and Quality Questionnaires,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-410392-4,,,2013,Controlled,Regular,Unique Title Requests,1
Haschek and Rousseaux's Handbook of Toxicologic Pathology (Third Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-415759-0,,,2013,Controlled,Regular,Unique Title Requests,1
Measuring the User Experience (Second Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-415781-1,,,2013,Controlled,Regular,Unique Title Requests,3
Animal Biotechnology,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-416002-6,,,2014,Controlled,Regular,Unique Title Requests,8
Introductory Differential Equations (Fourth Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-417219-7,,,2014,Controlled,Regular,Unique Title Requests,1
Influencing Enterprise Risk Mitigation,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-417233-3,,,2013,Controlled,Regular,Unique Title Requests,1
Imaging of the Human Brain in Health and Disease,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-418677-4,,,2014,Controlled,Regular,Unique Title Requests,2
Laboratory Methods in Enzymology,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-420119-4,,,2014,Controlled,Regular,Unique Title Requests,1
Fusion,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-481851-4,,,2005,Controlled,Regular,Unique Title Requests,1
Intermediate Filament Cytoskeleton,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-564173-9,0091-679X,,2004,Controlled,Regular,Unique Title Requests,1
Computational Quantum Chemistry,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-569682-1,,,2002,Controlled,Regular,Unique Title Requests,1
Intrinsic and Extrinsic Motivation,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-619070-0,,,2000,Controlled,Regular,Unique Title Requests,1
Intrinsic and Extrinsic Motivation: The Search for Optimal Motivation and Performance (Educational Psychology Series),EBSCO,Academic Press,EBSCOhost,978-0-12-619070-0,,,2000,Controlled,Regular,Unique Title Requests,1
Programming Language Pragmatics,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-633951-2,,,2005,Controlled,Regular,Unique Title Requests,1
Security Leader Insights for Risk Management,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-800840-9,,,2015,Controlled,Regular,Unique Title Requests,1
"Neuroimaging Personality, Social Cognition, and Character",ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-800935-2,,,2016,Controlled,Regular,Unique Title Requests,1
Algebraic and Discrete Mathematical Methods for Modern Biology,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-801213-0,,,2015,Controlled,Regular,Unique Title Requests,2
Physiology of Elasmobranch Fishes: Internal Processes,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-801286-4,1546-5098,,2015,Controlled,Regular,Unique Title Requests,4
Sea Otter Conservation,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-801402-8,,,2015,Controlled,Regular,Unique Title Requests,2
"Basic Molecular Protocols in Neuroscience: Tips, Tricks, and Pitfalls",Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-801461-5,,,2014,Controlled,Regular,Unique Title Requests,1
Natural Organic Matter in Water,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-801503-2,,,2014,Controlled,Regular,Unique Title Requests,2
Nonviral Vectors for Gene Therapy,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-802272-6,,,2015,Controlled,Regular,Unique Title Requests,1
Behavior Change Research and Theory,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-802690-8,,,2016,Controlled,Regular,Unique Title Requests,4
"Procrastination, Health, and Well-Being",ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-802862-9,,,2016,Controlled,Regular,Unique Title Requests,1
Data Analysis in the Cloud,ProQuest,Elsevier,ProQuest Ebook Central,978-0-12-802881-0,,,2015,Controlled,Regular,Unique Title Requests,3
International Money and Finance,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-804106-2,,,2017,Controlled,Regular,Unique Title Requests,40
Advances in Clinical Chemistry,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-804688-3,,,2016,Controlled,Regular,Unique Title Requests,1
World Seas: an Environmental Evaluation,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-805068-2,,,2018,Controlled,Regular,Unique Title Requests,1
The Power Grid,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-805321-8,,,2017,Controlled,Regular,Unique Title Requests,1
Tissue Engineering Made Easy,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-805361-4,,,2016,Controlled,Regular,Unique Title Requests,4
Comprehensive Energy Systems,ProQuest,Elsevier,ProQuest Ebook Central,978-0-12-809597-3,,,2018,Controlled,Regular,Unique Title Requests,2
Developmental Biology and Musculoskeletal Tissue Engineering,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-811467-4,,,2018,Controlled,Regular,Unique Title Requests,1
Neuroergonomics,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-811926-6,,,2019,Controlled,Regular,Unique Title Requests,1
Digital Asset Valuation and Cyber Risk Measurement,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-812158-0,,,2019,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Food Security and Sustainability,ProQuest,Elsevier,ProQuest Ebook Central,978-0-12-812687-5,,,2019,Controlled,Regular,Unique Title Requests,2
Vaccines for Cancer Immunotherapy,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-814039-0,,,2018,Controlled,Regular,Unique Title Requests,1
Fundamentals of 3D Food Printing and Applications,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-814564-7,,,2018,Controlled,Regular,Unique Title Requests,1
Data Science,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-814761-0,,,2018,Controlled,Regular,Unique Title Requests,1
Psychology of Learning and Motivation Vol: 69,Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-815085-6,0079-7421,,2018,Controlled,Regular,Unique Title Requests,1
Advances in Child Development and Behavior,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-815113-6,,,2018,Controlled,Regular,Unique Title Requests,1
Spatial Modeling in GIS and R for Earth and Environmental Sciences,ProQuest,Elsevier,ProQuest Ebook Central,978-0-12-815226-3,,,2019,Controlled,Regular,Unique Title Requests,1
Healthcare Data Analytics and Management,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-12-815368-0,,,2018,Controlled,Regular,Unique Title Requests,2
Molecular Biology Techniques (Fourth Edition),Elsevier,Elsevier,ScienceDirect licensed content,978-0-12-818024-2,,,2019,Controlled,Regular,Unique Title Requests,1
An Introduction to Islam,ProQuest,Taylor & Francis Group,ProQuest Ebook Central,978-0-13-814477-7,,,2010,Controlled,Regular,Unique Title Requests,43
Amusing Ourselves to Death,ProQuest,Penguin Publishing Group,ProQuest Ebook Central,978-0-14-303653-1,,,2005,Controlled,Regular,Unique Title Requests,1
The Ultimate Ambition in the Arts of Erudition : A Compendium of Knowledge from the Classical Islamic World,ProQuest,Penguin Publishing Group,ProQuest Ebook Central,978-0-14-310748-4,,,2016,Controlled,Regular,Unique Title Requests,8
Switched On Pop,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-005665-0,,,2019,Controlled,Regular,Unique Title Requests,1
State-Sanctioned Violence,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-005846-3,,,2020,Controlled,Regular,Unique Title Requests,1
Clean Hands,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-005869-2,,,2019,Controlled,Regular,Unique Title Requests,6
Forgotten Bastards of the Eastern Front : American Airmen Behind the Soviet Lines and the Collapse of the Grand Alliance,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-006101-2,,,2019,Controlled,Regular,Unique Title Requests,18
How China Loses,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-006108-1,,,2020,Controlled,Regular,Unique Title Requests,1
Theories of the Flesh,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-006296-5,,,2020,Controlled,Regular,Unique Title Requests,18
Rebels in the Making,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-007608-5,,,2020,Controlled,Regular,Unique Title Requests,1
The Return of Great Power Rivalry,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-008024-2,,,2020,Controlled,Regular,Unique Title Requests,1
Citizens and the State in Authoritarian Regimes,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-009348-8,,,2020,Controlled,Regular,Unique Title Requests,1
China and Cybersecurity,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-020126-5,,,2015,Controlled,Regular,Unique Title Requests,1
"Hungry Bengal : War, Famine and the End of Empire",ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-020988-9,,,2015,Controlled,Regular,Unique Title Requests,1
The China-Pakistan Axis,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-021075-5,,,2015,Controlled,Regular,Unique Title Requests,5
Steeped in the Blood of Racism,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-021537-8,,,2020,Controlled,Regular,Unique Title Requests,1
Content Analysis,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-021549-1,,,2015,Controlled,Regular,Unique Title Requests,4
The Psychology of Strategy,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-022723-4,,,2016,Controlled,Regular,Unique Title Requests,2
Oxford Research Encyclopedia of Communication,Oxford University Press,Oxford University Press,Oxford Research Encyclopedias,978-0-19-022861-3,,,2017,Controlled,Regular,Unique Title Requests,2
Oxford Research Encyclopedia of Politics,Oxford University Press,Oxford University Press,Oxford Research Encyclopedias,978-0-19-022863-7,,,2017,Controlled,Regular,Unique Title Requests,1
Oxford Research Encyclopedia of Politics,Oxford University Press,Oxford University Press,Oxford Research Encyclopedias,978-0-19-022863-7,,,2019,Controlled,Regular,Unique Title Requests,1
The Oxford Handbook of Philosophy and Race,Oxford University Press,Oxford University Press,Oxford Handbooks Online,978-0-19-023695-3,,,2017,Controlled,Regular,Unique Title Requests,3
Women's Issues for a New Generation : A Social Work Perspective,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-023939-8,,,2016,Controlled,Regular,Unique Title Requests,1
Oxford Research Encyclopedia of Criminology and Criminal Justice,Oxford University Press,Oxford University Press,Oxford Research Encyclopedias,978-0-19-026407-9,,,2017,Controlled,Regular,Unique Title Requests,2
Brought to Bed,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-026412-3,,,2016,Controlled,Regular,Unique Title Requests,3
Mothers of Massive Resistance,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-027171-8,,,1,Controlled,Regular,Unique Title Requests,2
Mothers of Massive Resistance,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-027171-8,,,2018,Controlled,Regular,Unique Title Requests,3
Children of Lucifer,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-027510-5,,,2016,Controlled,Regular,Unique Title Requests,3
Athenian Prostitution,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-027592-1,,,2015,Controlled,Regular,Unique Title Requests,2
Rape Loot Pillage,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-027766-6,,,2016,Controlled,Regular,Unique Title Requests,2
Oxford Research Encyclopedia of African History,Oxford University Press,Oxford University Press,Oxford Research Encyclopedias,978-0-19-027773-4,,,2018,Controlled,Regular,Unique Title Requests,1
Nazi Persecution of the Gypsies,EBSCO,Oxford University Press,EBSCOhost,978-0-19-028430-5,,,1999,Controlled,Regular,Unique Title Requests,1
Many Faces of Philosophy: Reflections from Plato to Arendt,EBSCO,Oxford University Press,EBSCOhost,978-0-19-028538-8,,,2003,Controlled,Regular,Unique Title Requests,1
Silent Covenants: Brown V. Board of Education and the Unfulfilled Hopes for Racial Reform,EBSCO,Oxford University Press,EBSCOhost,978-0-19-029155-6,,,2004,Controlled,Regular,Unique Title Requests,1
Phallacies,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-045899-7,,,2017,Controlled,Regular,Unique Title Requests,1
The Open Door,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-046338-0,,,2017,Controlled,Regular,Unique Title Requests,3
Unscripted America,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-049256-4,,,2017,Controlled,Regular,Unique Title Requests,21
Redeeming the Kamasutra,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-049928-0,,,2016,Controlled,Regular,Unique Title Requests,1
Food Power,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-060068-6,,,2017,Controlled,Regular,Unique Title Requests,6
Music Education for Children with Autism Spectrum Disorder,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-060633-6,,,2017,Controlled,Regular,Unique Title Requests,1
The Problem of Universals in Early Modern Philosophy,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-060804-0,,,2017,Controlled,Regular,Unique Title Requests,1
The Archaeology of Byzantine Anatolia,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-061046-3,,,2017,Controlled,Regular,Unique Title Requests,1
Expelling the Poor,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-061921-3,,,2017,Controlled,Regular,Unique Title Requests,1
Raciolinguistics,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-062569-6,,,2016,Controlled,Regular,Unique Title Requests,3
Parent Training for Disruptive Behavior,Oxford University Press,Oxford University Press,Oxford Clinical Psychology,978-0-19-062784-3,,,2018,Controlled,Regular,Unique Title Requests,1
Democratization and Authoritarian Party Survival,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-062851-2,,,2017,Controlled,Regular,Unique Title Requests,1
The Tea Party and the Remaking of Republican Conservatism,ProQuest,Oxford University Press USA - OSO,ProQuest Ebook Central,978-0-19-063366-0,,,2012,Controlled,Regular,Unique Title Requests,11
Negotiating Opportunities,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-063443-8,,,2018,Controlled,Regular,Unique Title Requests,1
Colonial Capitalism and the Dilemmas of Liberalism,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-063729-3,,,2018,Controlled,Regular,Unique Title Requests,2
Catholic Parishes of the 21st Century,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-064516-8,,,1,Controlled,Regular,Unique Title Requests,3
Catholic Parishes of the 21st Century,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-064516-8,,,2017,Controlled,Regular,Unique Title Requests,5
Murasaki Shikibu's The Tale of Genji,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-065497-9,,,2019,Controlled,Regular,Unique Title Requests,1
Refuge,ProQuest,"Oxford University Press, Incorporated",ProQuest Ebook Central,978-0-19-065915-8,,,2017,Controlled,Regular,Unique Title Requests,16
The Treaty of Versailles: A Concise History,EBSCO,Oxford University Press,EBSCOhost,978-0-19-065918-9,,,2017,Controlled,Regular,Unique Title Requests,19
Sound-Politics in São Paulo,Oxford University Press,Oxford University Press,Oxford Scholarship Online,978-0-19-066009-3,,,2019,Controlled,Regular,Unique Title Requests,1
